,Date,CPI,95% LTV Rate,90% LTV Rate,75% LTV Rate,60% LTV Rate,85% LTV Rate,GDHI per Head,HPI
0,01-01-2015,100,4.06,2.87,1.9,1.7,2.22,19004,100
1,01-01-2015,100,4.13,2.88,1.92,1.67,2.21,19004,100
2,01-01-2015,100,4.22,2.89,1.87,1.63,2.2,19004,100
3,01-01-2015,100,4.22,3.03,1.91,1.64,2.23,19004,100
4,01-01-2015,100,4.36,3.15,1.95,1.65,2.29,19004,100
5,01-01-2015,100,4.32,3.26,1.87,1.6,2.33,19004,100
6,01-01-2015,100,4.39,3.34,1.83,1.6,2.3,19004,100
7,01-01-2015,100,4.57,3.53,1.9,1.64,2.51,19004,100
8,01-01-2015,100,4.58,3.53,1.95,1.65,2.53,19004,100
9,01-01-2015,100,4.72,3.74,1.99,1.59,2.59,19004,100
10,01-01-2015,100,4.67,3.77,1.96,1.67,2.66,19004,100
11,01-01-2015,100,4.74,3.71,2.01,1.81,2.69,19004,100
12,01-01-2016,100.7,3.62,2.53,1.45,1.35,1.75,19227,107.8
13,01-01-2016,100.7,3.66,2.49,1.43,1.32,1.74,19227,107.8
14,01-01-2016,100.7,3.73,2.42,1.52,1.38,1.83,19227,107.8
15,01-01-2016,100.7,3.84,2.42,1.59,1.45,1.85,19227,107.8
16,01-01-2016,100.7,3.88,2.55,1.69,1.59,1.92,19227,107.8
17,01-01-2016,100.7,3.85,2.57,1.72,1.73,1.9,19227,107.8
18,01-01-2016,100.7,3.88,2.64,1.75,1.71,1.99,19227,107.8
19,01-01-2016,100.7,3.93,2.75,1.91,1.7,2.18,19227,107.8
20,01-01-2016,100.7,3.92,2.71,1.84,1.67,2.17,19227,107.8
21,01-01-2016,100.7,3.92,2.87,1.9,1.62,2.17,19227,107.8
22,01-01-2016,100.7,3.99,2.88,1.95,1.68,2.26,19227,107.8
23,01-01-2016,100.7,3.95,2.85,1.93,1.7,2.3,19227,107.8
24,01-01-2017,103.4,3.89,2.21,1.57,1.41,1.69,19677,112.9
25,01-01-2017,103.4,3.97,2.36,1.61,1.45,1.68,19677,112.9
26,01-01-2017,103.4,4.02,2.36,1.55,1.44,1.66,19677,112.9
27,01-01-2017,103.4,4.01,2.31,1.4,1.23,1.57,19677,112.9
28,01-01-2017,103.4,4.02,2.33,1.43,1.24,1.58,19677,112.9
29,01-01-2017,103.4,4.07,2.37,1.41,1.23,1.57,19677,112.9
30,01-01-2017,103.4,4.2,2.5,1.48,1.38,1.65,19677,112.9
31,01-01-2017,103.4,4.19,2.5,1.49,1.29,1.65,19677,112.9
32,01-01-2017,103.4,4.04,2.43,1.35,1.24,1.62,19677,112.9
33,01-01-2017,103.4,3.99,2.48,1.37,1.28,1.67,19677,112.9
34,01-01-2017,103.4,3.8,2.45,1.42,1.35,1.71,19677,112.9
35,01-01-2017,103.4,3.62,2.5,1.45,1.33,1.78,19677,112.9
36,01-01-2018,105.9,3.18,2.24,1.73,1.61,1.84,20406,117.8
37,01-01-2018,105.9,3.23,2.28,1.75,1.67,1.88,20406,117.8
38,01-01-2018,105.9,3.33,2.27,1.8,1.64,1.93,20406,117.8
39,01-01-2018,105.9,3.38,2.12,1.71,1.65,1.93,20406,117.8
40,01-01-2018,105.9,3.61,2.28,1.75,1.7,1.97,20406,117.8
41,01-01-2018,105.9,3.78,2.3,1.75,1.73,1.99,20406,117.8
42,01-01-2018,105.9,3.95,2.37,1.74,1.68,2.08,20406,117.8
43,01-01-2018,105.9,3.95,2.34,1.74,1.69,2.06,20406,117.8
44,01-01-2018,105.9,3.9,2.36,1.72,1.73,1.85,20406,117.8
45,01-01-2018,105.9,3.77,2.2,1.53,1.52,1.76,20406,117.8
46,01-01-2018,105.9,3.82,2.21,1.49,1.45,1.71,20406,117.8
47,01-01-2018,105.9,3.82,2.17,1.54,1.42,1.64,20406,117.8
48,01-01-2019,107.8,3,2.07,1.42,1.3,1.7,21015,119.7
49,01-01-2019,107.8,2.99,2.08,1.41,1.29,1.71,21015,119.7
50,01-01-2019,107.8,2.99,2.07,1.47,1.31,1.73,21015,119.7
51,01-01-2019,107.8,2.99,2.09,1.55,1.38,1.76,21015,119.7
52,01-01-2019,107.8,2.96,2.1,1.59,1.44,1.79,21015,119.7
53,01-01-2019,107.8,2.96,2.15,1.61,1.49,1.8,21015,119.7
54,01-01-2019,107.8,2.95,2.18,1.64,1.56,1.8,21015,119.7
55,01-01-2019,107.8,2.93,2.19,1.65,1.56,1.81,21015,119.7
56,01-01-2019,107.8,2.92,2.15,1.66,1.6,1.83,21015,119.7
57,01-01-2019,107.8,2.97,2.17,1.7,1.59,1.85,21015,119.7
58,01-01-2019,107.8,2.99,2.17,1.7,1.61,1.85,21015,119.7
59,01-01-2019,107.8,3.04,2.23,1.72,1.65,1.86,21015,119.7
